"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1088","test_hotel_list","test","Wed Nov 20 18:12:36 GMT 2024","passed","Wed Nov 20 18:12:38 GMT 2024","TestHootel","test_hootel","",""
"A belépés tesztelése","1347","Hootel Login","test","Wed Nov 20 18:12:34 GMT 2024","passed","Wed Nov 20 18:12:35 GMT 2024","TestHootel","test_hootel","",""
